target,Age,No_Pol,Gender,Car_Category,Subject_Car_Colour,Subject_Car_Make,LGA_Name,State,ProductName,PSD_month,PSD_day,PSD_year,PSD_quarter,PSD_dayofweek,PSD_weekend,PED_month,PED_day,PED_year,PED_quarter,PED_dayofweek,PED_weekend,Pol_Duration,max_Age,max_No_Pol,max_PSD_month,max_PSD_day,max_PSD_year,max_PSD_quarter,max_PSD_dayofweek,max_PSD_weekend,max_PED_month,max_PED_day,max_PED_year,max_PED_quarter,max_PED_dayofweek,max_PED_weekend,max_Pol_Duration,min_Age,min_No_Pol,min_PSD_month,min_PSD_day,min_PSD_year,min_PSD_quarter,min_PSD_dayofweek,min_PSD_weekend,min_PED_month,min_PED_day,min_PED_year,min_PED_quarter,min_PED_dayofweek,min_PED_weekend,min_Pol_Duration,Age_Bin
0,30,1,4,7,4,68,68,41,1,5,14,2010,2,4,0,5,13,2011,2,4,0,8736,120,5,12,31,2010,4,6,1,12,31,2011,4,6,1,8952,1,1,1,1,2010,1,0,0,1,1,2010,1,0,0,960,2
1,79,1,2,3,19,68,68,41,1,11,29,2010,4,0,0,11,28,2011,4,0,0,8736,79,1,11,29,2010,4,5,1,11,28,2011,4,5,1,8784,1,1,6,4,2010,2,0,0,6,3,2011,2,0,0,8736,5
0,43,1,4,7,27,68,168,41,1,3,21,2010,1,6,1,3,20,2011,1,6,1,8736,43,3,9,26,2010,3,6,1,9,24,2011,3,6,1,8736,33,1,2,6,2010,1,0,0,2,5,2011,1,0,0,8616,3
0,2,1,4,7,4,68,12,41,5,8,21,2010,3,5,1,8,20,2011,3,5,1,8736,63,2,12,21,2010,4,5,1,12,20,2011,4,5,1,8736,1,1,5,6,2010,2,0,0,5,5,2011,2,0,0,8736,1
1,20,3,4,7,4,68,130,54,8,8,29,2010,3,6,1,12,31,2010,4,4,0,2976,20,3,8,29,2010,3,6,1,12,31,2010,4,4,0,2976,20,3,8,29,2010,3,6,1,12,31,2010,4,4,0,2976,2
0,37,2,4,7,4,68,68,41,1,10,21,2010,4,3,0,10,20,2011,4,3,0,8736,120,5,12,31,2010,4,6,1,12,31,2011,4,6,1,8952,1,1,1,1,2010,1,0,0,1,1,2010,1,0,0,960,3
0,40,3,2,3,4,68,96,41,0,8,2,2010,3,0,0,8,1,2011,3,0,0,8736,40,3,8,2,2010,3,0,0,8,1,2011,3,0,0,8736,40,3,8,2,2010,3,0,0,8,1,2011,3,0,0,8736,3
0,43,1,4,7,7,68,96,41,5,9,12,2010,3,6,1,9,11,2011,3,6,1,8736,66,2,12,27,2010,4,6,1,12,26,2011,4,6,1,8736,1,1,2,2,2010,1,4,0,2,1,2011,1,3,0,8712,3
0,71,2,2,3,4,58,35,41,1,7,6,2010,3,1,0,7,5,2011,3,1,0,8736,71,2,7,6,2010,3,1,0,7,5,2011,3,1,0,8736,71,2,7,6,2010,3,1,0,7,5,2011,3,1,0,8736,5
0,58,1,2,3,4,59,68,41,1,12,18,2010,4,5,1,12,17,2011,4,5,1,8736,120,2,12,26,2010,4,6,1,12,25,2011,4,6,1,8736,44,1,3,12,2010,1,1,0,3,11,2011,1,4,0,5808,4
0,43,1,2,7,19,68,68,41,5,12,23,2010,4,3,0,12,22,2011,4,3,0,8736,57,1,12,26,2010,4,5,1,12,25,2011,4,5,1,8736,1,1,7,6,2010,3,0,0,7,5,2011,3,0,0,8712,3
0,45,1,4,3,4,43,68,41,2,10,25,2010,4,0,0,10,23,2011,4,6,1,8712,70,2,10,27,2010,4,6,1,10,26,2011,4,6,1,8736,43,1,2,7,2010,1,0,0,2,6,2011,1,0,0,8712,3
1,51,1,4,7,4,68,131,41,1,1,3,2010,1,6,1,1,2,2011,1,6,1,8736,120,3,12,30,2010,4,6,1,12,31,2011,4,6,1,8736,33,1,1,1,2010,1,0,0,1,1,2011,1,0,0,4344,4
0,120,2,2,3,4,68,68,41,1,3,26,2010,1,4,0,3,25,2011,1,4,0,8736,5939,4,12,31,2010,4,6,1,12,31,2011,4,6,1,9144,0,1,1,1,2010,1,0,0,1,1,2011,1,0,0,2184,6
0,38,1,4,7,19,68,132,41,1,9,10,2010,3,4,0,9,9,2011,3,4,0,8736,41,3,12,27,2010,4,6,1,9,31,2011,3,6,1,8736,28,1,1,1,2010,1,0,0,1,4,2011,1,0,0,4344,3
0,81,1,4,7,4,31,195,26,1,11,19,2010,4,4,0,11,5,2011,4,5,1,8424,81,1,11,19,2010,4,4,0,11,5,2011,4,5,1,8424,81,1,11,19,2010,4,4,0,11,5,2011,4,5,1,8424,5
0,69,1,2,7,4,68,96,41,5,4,26,2010,2,0,0,4,25,2011,2,0,0,8736,78,2,11,28,2010,4,6,1,11,31,2011,4,6,1,8760,1,1,1,1,2010,1,0,0,1,1,2011,1,0,0,8712,5
0,31,1,2,7,4,68,9,31,1,5,9,2010,2,6,1,5,8,2011,2,6,1,8736,61,2,11,30,2010,4,6,1,9,31,2011,3,6,1,8736,28,1,1,1,2010,1,0,0,1,2,2011,1,0,0,4344,3
0,70,1,4,3,4,68,68,41,1,6,28,2010,2,0,0,6,27,2011,2,0,0,8736,120,4,12,31,2010,4,6,1,12,30,2011,4,6,1,8736,22,1,1,2,2010,1,0,0,1,1,2011,1,0,0,2184,5
0,20,1,4,11,7,35,4,20,0,7,27,2010,3,1,0,6,14,2011,2,1,0,7728,20,1,8,27,2010,3,5,1,8,14,2011,3,5,1,8400,20,1,7,21,2010,3,1,0,6,6,2011,2,1,0,7728,2
0,20,2,4,11,7,18,130,54,0,12,13,2010,4,0,0,6,12,2011,2,6,1,4344,20,2,12,13,2010,4,0,0,6,12,2011,2,6,1,4344,20,2,12,13,2010,4,0,0,6,12,2011,2,6,1,4344,2
0,30,1,4,7,34,68,68,41,1,10,16,2010,4,5,1,10,15,2011,4,5,1,8736,120,3,12,31,2010,4,6,1,12,31,2011,4,6,1,8784,1,1,1,1,2010,1,0,0,1,1,2011,1,0,0,4200,2
1,30,1,4,7,19,68,96,41,1,8,7,2010,3,5,1,8,6,2011,3,5,1,8736,65,3,12,31,2010,4,6,1,10,26,2011,4,6,1,8736,1,1,1,4,2010,1,0,0,1,3,2011,1,0,0,360,2
0,34,1,4,7,7,68,96,41,1,3,5,2010,1,4,0,3,4,2011,1,4,0,8736,61,3,12,30,2010,4,6,1,12,29,2011,4,6,1,8736,10,1,1,2,2010,1,0,0,1,1,2011,1,0,0,6528,3
0,40,2,4,7,4,28,9,31,1,10,28,2010,4,3,0,10,27,2011,4,3,0,8736,71,3,11,31,2010,4,6,1,11,30,2011,4,6,1,8736,37,1,1,3,2010,1,0,0,1,2,2011,1,0,0,6384,3
0,1,1,4,7,4,28,187,48,5,12,11,2010,4,5,1,12,10,2011,4,5,1,8736,61,2,12,29,2010,4,5,1,12,28,2011,4,5,1,8736,1,1,1,6,2010,1,3,0,1,5,2011,1,3,0,8736,1
0,41,1,4,7,33,68,132,41,1,1,23,2010,1,5,1,1,16,2011,1,6,1,8592,61,2,12,30,2010,4,5,1,12,29,2011,4,6,1,8736,29,1,1,5,2010,1,0,0,1,4,2011,1,0,0,4320,3
0,31,1,4,7,19,68,68,41,1,7,2,2010,3,4,0,7,1,2011,3,4,0,8736,120,4,12,31,2010,4,6,1,12,31,2011,4,6,1,8760,1,1,1,1,2010,1,0,0,1,1,2010,1,0,0,384,3
0,40,1,4,7,4,68,187,48,5,3,1,2010,1,0,0,3,1,2011,1,1,0,8760,55,2,12,28,2010,4,6,1,12,27,2011,4,6,1,8760,27,1,1,1,2010,1,0,0,1,1,2011,1,0,0,8736,3
0,20,1,4,7,4,68,187,41,1,2,10,2010,1,2,0,2,9,2011,1,2,0,8736,20,1,2,10,2010,1,2,0,2,9,2011,1,2,0,8736,20,1,2,10,2010,1,2,0,2,9,2011,1,2,0,8736,2
0,47,2,4,7,4,68,187,48,5,3,16,2010,1,1,0,3,15,2011,1,1,0,8736,55,2,12,28,2010,4,6,1,12,27,2011,4,6,1,8760,27,1,1,1,2010,1,0,0,1,1,2011,1,0,0,8736,4
0,40,1,2,3,19,50,132,41,1,1,22,2010,1,4,0,1,21,2011,1,4,0,8736,40,1,1,22,2010,1,4,0,1,21,2011,1,4,0,8736,40,1,1,22,2010,1,4,0,1,21,2011,1,4,0,8736,3
0,34,1,4,7,4,68,68,41,1,10,7,2010,4,3,0,4,5,2011,2,1,0,4320,120,5,12,31,2010,4,6,1,12,31,2011,4,6,1,8952,1,1,1,1,2010,1,0,0,1,1,2010,1,0,0,960,3
0,2,1,4,5,27,38,68,41,7,7,2,2010,3,4,0,7,1,2011,3,4,0,8736,2,1,7,2,2010,3,4,0,7,1,2011,3,4,0,8736,2,1,7,2,2010,3,4,0,7,1,2011,3,4,0,8736,1
0,36,1,2,3,4,50,68,41,2,6,21,2010,2,0,0,6,19,2011,2,6,1,8712,60,3,6,28,2010,2,6,1,12,31,2011,4,6,1,8736,36,1,1,1,2010,1,0,0,3,19,2010,1,4,0,8712,3
0,37,1,4,7,4,28,96,41,5,4,4,2010,2,6,1,4,3,2011,2,6,1,8736,74,2,12,29,2010,4,6,1,12,31,2011,4,6,1,8736,1,1,1,1,2010,1,0,0,1,1,2011,1,0,0,8736,3
0,46,1,4,7,4,31,153,41,5,11,28,2010,4,6,1,11,27,2011,4,6,1,8736,60,1,11,28,2010,4,6,1,11,27,2011,4,6,1,8736,30,1,11,28,2010,4,6,1,11,27,2011,4,6,1,8736,4
0,48,1,4,7,4,68,96,41,5,8,7,2010,3,5,1,8,6,2011,3,5,1,8736,120,3,12,30,2010,4,6,1,12,31,2011,4,6,1,8736,1,1,1,2,2010,1,0,0,1,1,2011,1,0,0,8712,4
0,120,2,4,3,4,68,68,41,1,5,8,2010,2,5,1,5,7,2011,2,5,1,8736,120,4,12,31,2010,4,6,1,12,30,2011,4,6,1,8736,22,1,1,2,2010,1,0,0,1,1,2011,1,0,0,2184,6
0,39,2,4,7,27,68,168,41,1,9,6,2010,3,0,0,9,5,2011,3,0,0,8736,43,3,9,26,2010,3,6,1,9,24,2011,3,6,1,8736,33,1,2,6,2010,1,0,0,2,5,2011,1,0,0,8616,3
0,63,2,2,7,4,3,9,31,5,11,9,2010,4,1,0,11,8,2011,4,1,0,8736,63,2,11,9,2010,4,1,0,11,8,2011,4,1,0,8736,63,2,11,9,2010,4,1,0,11,8,2011,4,1,0,8736,5
0,39,1,2,7,4,28,22,41,1,3,12,2010,1,4,0,3,11,2011,1,4,0,8736,39,1,3,12,2010,1,4,0,3,11,2011,1,4,0,8736,39,1,3,12,2010,1,4,0,3,11,2011,1,4,0,8736,3
0,40,1,4,7,4,28,68,41,5,2,12,2010,1,4,0,2,11,2011,1,4,0,8736,85,3,12,31,2010,4,6,1,12,30,2011,4,6,1,8736,1,1,1,1,2010,1,0,0,1,1,2011,1,0,0,8712,3
0,47,1,4,3,4,23,154,26,1,4,25,2010,2,6,1,4,9,2011,2,5,1,8376,47,1,4,25,2010,2,6,1,4,9,2011,2,5,1,8376,47,1,4,25,2010,2,6,1,4,9,2011,2,5,1,8376,4
0,36,1,2,7,4,68,68,41,1,12,25,2010,4,5,1,4,24,2011,2,6,1,2880,120,2,12,31,2010,4,6,1,12,31,2011,4,6,1,8736,1,1,1,1,2010,1,0,0,1,1,2011,1,0,0,2064,3
1,47,3,2,3,4,43,30,11,1,1,13,2010,1,2,0,1,12,2011,1,2,0,8736,47,3,1,13,2010,1,2,0,1,12,2011,1,2,0,8736,47,3,1,13,2010,1,2,0,1,12,2011,1,2,0,8736,4
0,41,2,4,7,33,68,80,22,2,3,8,2010,1,0,0,2,9,2011,1,2,0,8112,41,2,3,8,2010,1,0,0,2,9,2011,1,2,0,8112,41,2,3,8,2010,1,0,0,2,9,2011,1,2,0,8112,3
0,42,3,4,11,21,35,4,20,0,7,8,2010,3,3,0,7,7,2011,3,3,0,8736,44,3,11,19,2010,4,4,0,7,24,2011,3,6,1,8736,42,1,7,2,2010,3,3,0,3,1,2011,1,3,0,3240,3
0,38,1,4,7,21,68,131,41,1,4,15,2010,2,3,0,4,14,2011,2,3,0,8736,43,1,12,29,2010,4,6,1,12,28,2011,4,6,1,8760,35,1,1,5,2010,1,0,0,1,2,2011,1,0,0,2832,3
0,27,1,2,3,34,68,68,41,1,9,9,2010,3,3,0,9,8,2011,3,3,0,8736,65,3,12,28,2010,4,4,0,12,27,2011,4,3,0,8736,13,1,4,2,2010,2,0,0,1,1,2011,1,0,0,4848,2
1,42,1,4,7,27,68,68,41,1,6,6,2010,2,6,1,6,5,2011,2,6,1,8736,120,4,12,29,2010,4,6,1,11,30,2011,4,6,1,8760,1,1,1,1,2010,1,0,0,1,2,2011,1,0,0,2160,3
0,39,1,4,7,19,28,82,41,1,5,20,2010,2,3,0,5,19,2011,2,3,0,8736,39,1,5,20,2010,2,3,0,5,19,2011,2,3,0,8736,39,1,5,20,2010,2,3,0,5,19,2011,2,3,0,8736,3
0,30,2,2,7,4,68,82,41,1,4,26,2010,2,0,0,4,25,2011,2,0,0,8736,37,2,10,30,2010,4,6,1,10,31,2011,4,6,1,8736,27,1,4,12,2010,2,0,0,3,15,2011,1,0,0,6288,2
0,64,1,2,7,4,68,199,26,1,4,23,2010,2,4,0,4,22,2011,2,4,0,8736,64,1,5,23,2010,2,6,1,5,22,2011,2,6,1,8736,47,1,3,9,2010,1,3,0,3,8,2011,1,3,0,8736,5
0,120,1,2,3,4,43,68,41,6,11,28,2010,4,6,1,11,27,2011,4,6,1,8736,120,1,11,28,2010,4,6,1,11,27,2011,4,6,1,8736,120,1,11,28,2010,4,6,1,11,27,2011,4,6,1,8736,6
0,36,1,4,7,4,70,68,41,5,7,31,2010,3,5,1,7,30,2011,3,5,1,8736,112,1,12,31,2010,4,6,1,12,30,2011,4,6,1,8736,1,1,2,9,2010,1,0,0,2,8,2011,1,0,0,8736,3
0,50,1,2,7,33,68,186,41,1,7,4,2010,3,6,1,7,3,2011,3,6,1,8736,50,1,7,21,2010,3,6,1,7,20,2011,3,6,1,8736,43,1,6,4,2010,2,0,0,6,3,2011,2,0,0,8736,4
0,53,1,2,7,4,68,9,31,5,8,15,2010,3,6,1,8,14,2011,3,6,1,8736,68,3,11,28,2010,4,6,1,11,27,2011,4,6,1,8736,37,1,3,11,2010,1,1,0,3,10,2011,1,1,0,8736,4
1,37,1,4,3,2,43,12,41,1,2,18,2010,1,3,0,2,17,2011,1,3,0,8736,56,1,4,30,2010,2,4,0,4,29,2011,2,4,0,8736,37,1,2,18,2010,1,3,0,2,17,2011,1,3,0,8736,3
0,33,2,4,7,7,68,126,41,1,8,21,2010,3,5,1,7,16,2011,3,5,1,7896,52,2,12,27,2010,4,6,1,12,26,2011,4,6,1,8736,24,1,3,3,2010,1,0,0,3,1,2011,1,0,0,4320,3
0,23,1,4,7,4,50,68,41,1,9,17,2010,3,4,0,9,16,2011,3,4,0,8736,120,3,12,31,2010,4,6,1,12,31,2011,4,6,1,8760,11,1,1,4,2010,1,0,0,1,3,2011,1,0,0,8400,2
0,47,1,4,7,4,68,68,41,1,7,26,2010,3,0,0,3,1,2011,1,1,0,5232,120,5,12,31,2010,4,6,1,12,31,2011,4,6,1,8952,1,1,1,1,2010,1,0,0,1,1,2010,1,0,0,960,4
0,47,1,4,7,4,53,99,41,5,9,20,2010,3,0,0,9,19,2011,3,0,0,8736,47,1,9,20,2010,3,0,0,9,19,2011,3,0,0,8736,45,1,9,20,2010,3,0,0,9,19,2011,3,0,0,8736,4
1,45,1,4,7,7,68,126,41,1,10,9,2010,4,5,1,4,8,2011,2,4,0,4344,52,2,12,27,2010,4,6,1,12,26,2011,4,6,1,8736,24,1,3,3,2010,1,0,0,3,1,2011,1,0,0,4320,3
0,32,1,4,7,4,50,68,41,5,4,4,2010,2,6,1,4,2,2011,2,5,1,8712,75,2,12,31,2010,4,6,1,12,30,2011,4,6,1,8736,1,1,1,1,2010,1,0,0,1,1,2011,1,0,0,8712,3
0,59,1,4,7,4,68,68,41,1,11,26,2010,4,4,0,11,25,2011,4,4,0,8736,120,5,12,31,2010,4,6,1,12,31,2011,4,6,1,8952,1,1,1,1,2010,1,0,0,1,1,2010,1,0,0,960,4
0,30,1,4,7,4,53,96,41,5,1,17,2010,1,6,1,1,16,2011,1,6,1,8736,60,1,12,27,2010,4,6,1,12,26,2011,4,6,1,8736,30,1,1,3,2010,1,0,0,1,2,2011,1,0,0,8736,2
1,60,1,2,7,4,68,80,22,1,5,13,2010,2,3,0,4,10,2011,2,6,1,7968,60,1,5,13,2010,2,3,0,4,10,2011,2,6,1,7968,60,1,5,13,2010,2,3,0,4,10,2011,2,6,1,7968,4
0,37,1,4,11,34,18,149,56,0,6,19,2010,2,5,1,4,14,2011,2,3,0,7176,37,1,6,19,2010,2,5,1,4,14,2011,2,3,0,7176,37,1,6,19,2010,2,5,1,4,14,2011,2,3,0,7176,3
0,37,1,2,7,4,68,9,31,5,7,11,2010,3,6,1,7,10,2011,3,6,1,8736,68,3,11,28,2010,4,6,1,11,27,2011,4,6,1,8736,37,1,3,11,2010,1,1,0,3,10,2011,1,1,0,8736,3
0,52,3,4,7,7,68,27,41,1,11,6,2010,4,5,1,8,6,2011,3,5,1,6552,52,3,11,28,2010,4,6,1,8,27,2011,3,6,1,6552,39,1,11,6,2010,4,5,1,2,6,2011,1,5,1,2184,4
0,54,1,4,3,4,28,79,48,2,4,28,2010,2,2,0,4,27,2011,2,2,0,8736,54,1,4,28,2010,2,2,0,4,27,2011,2,2,0,8736,54,1,4,28,2010,2,2,0,4,27,2011,2,2,0,8736,4
0,120,1,4,3,33,43,68,41,6,4,17,2010,2,5,1,4,16,2011,2,5,1,8736,120,1,4,17,2010,2,5,1,4,16,2011,2,5,1,8736,120,1,4,17,2010,2,5,1,4,16,2011,2,5,1,8736,6
0,40,1,2,7,4,68,96,41,5,10,17,2010,4,6,1,10,16,2011,4,6,1,8736,78,2,11,28,2010,4,6,1,11,31,2011,4,6,1,8760,1,1,1,1,2010,1,0,0,1,1,2011,1,0,0,8712,3
0,1,1,4,7,4,28,96,41,5,8,8,2010,3,6,1,8,7,2011,3,6,1,8736,74,2,12,29,2010,4,6,1,12,31,2011,4,6,1,8736,1,1,1,1,2010,1,0,0,1,1,2011,1,0,0,8736,1
0,44,1,4,7,4,31,68,41,5,5,17,2010,2,0,0,5,15,2011,2,6,1,8712,75,2,12,30,2010,4,6,1,12,30,2011,4,6,1,8736,1,1,1,1,2010,1,0,0,1,1,2011,1,0,0,8712,3
0,11,3,2,3,4,68,68,41,1,9,30,2010,3,3,0,8,13,2011,3,5,1,7608,5939,4,12,31,2010,4,6,1,12,31,2011,4,6,1,9144,0,1,1,1,2010,1,0,0,1,1,2011,1,0,0,2184,1
0,20,2,4,7,34,68,68,41,1,4,10,2010,2,5,1,4,9,2011,2,5,1,8736,120,3,12,31,2010,4,6,1,12,31,2011,4,6,1,8784,1,1,1,1,2010,1,0,0,1,1,2011,1,0,0,4200,2
